EXEC|Time|ID|Message|LISTEN|TRANSMIT
1|215466266|2| |1278|3090
1|215530994|3| |1306|0
1|215604427|7| |1359|0
1|215707026|10| |1080|0
1|215784796|8| |1630|1611
1|215822404|4| |1449|0
1|215823947|9| |1354|0
1|215926424|5| |1680|0
1|216059755|1| |163837|0
1|219017646|9|DATA sent to 1 seqn 7|NA|NA
1|219099281|1|DATA recv from 9 seqn 7|NA|NA
1|220334195|6| |1622|0
1|220465872|2| |2329|250
1|220530957|3| |1080|0
1|220604387|7| |1310|0
1|220708044|10| |1634|1614
1|220783702|8| |1080|0
1|220823356|4| |2264|1441
1|220824570|9| |1827|272
1|220927382|5| |3264|3908
1|221059755|1| |163837|0
1|221774688|7|DATA sent to 1 seqn 7|NA|NA
1|221914357|1|DATA recv from 7 seqn 7|NA|NA
1|225334201|6| |1546|0
1|225465177|2| |1216|0
1|225531303|3| |1366|90
1|225605402|7| |2038|2547
1|225706992|10| |1276|0
1|225783702|8| |1080|0
1|225822318|4| |1256|0
1|225823878|9| |1276|0
1|225927397|5| |1538|1291
1|226059755|1| |163837|0
1|226461366|4|DATA sent to 1 seqn 7|NA|NA
1|226601227|1|DATA recv from 4 seqn 7|NA|NA
1|227407142|8|DATA sent to 1 seqn 7|NA|NA
1|227455428|10|DATA sent to 1 seqn 7|NA|NA
1|227601094|1|DATA recv from 8 seqn 7|NA|NA
1|227668677|1|DATA recv from 10 seqn 7|NA|NA
1|229145138|6|DATA sent to 1 seqn 7|NA|NA
1|229291860|1|DATA recv from 6 seqn 7|NA|NA
1|230335218|6| |2395|2718
1|230465866|2| |2570|181
1|230531649|3| |1847|181
1|230605398|7| |1900|1000
1|230708005|10| |2192|2998
1|230784414|8| |1929|452
1|230823357|4| |3780|8633
1|230823926|9| |1484|0
1|230927406|5| |1908|2993
1|231059755|1| |163837|0
1|233772868|3|DATA sent to 1 seqn 7|NA|NA
1|233793373|1|DATA recv from 3 seqn 7|NA|NA
1|235334167|6| |1256|0
1|235465866|2| |1803|160
1|235531272|3| |1225|91
1|235604353|7| |1080|0
1|235706954|10| |1080|0
1|235784714|8| |2370|2641
1|235823323|4| |2489|2880
1|235824915|9| |1715|1360
1|235927028|5| |1773|480
1|236059755|1| |163837|0
1|238659941|5|DATA sent to 1 seqn 7|NA|NA
